,Consumerism,"Drinking, Drugs & Smoking",Educational Value,Language,MPAA_rating,Positive Messages,Sex,Sexy Stuff,Violence,Violence & Scariness,age,genre,movie_id,one_line_description,overall_rating,slug,title,is_educational,has_Sexy_Stuff,has_Violence_&_Scariness
284,0.0,0.0,0.0,1.0,NR,4.0,0.0,0.0,0.0,2.0,7,Family and Kids,387,Long-awaited sequel sends Arnold on quest to find parents.,4,hey-arnold-the-jungle-movie,Hey Arnold!: The Jungle Movie,1.0,1.0,1.0
290,0.0,1.0,0.0,1.0,PG,2.0,0.0,0.0,0.0,3.0,7,Family and Kids,393,"Awful live-action/animation has cartoon mayhem, potty humor.",1,woody-woodpecker,Woody Woodpecker,1.0,1.0,1.0
291,1.0,0.0,0.0,0.0,G,3.0,0.0,0.0,0.0,3.0,7,Family and Kids,394,Adorable stray dog in '70s classic; some peril.,3,benji,Benji,1.0,1.0,1.0
292,0.0,0.0,1.0,0.0,PG,4.0,0.0,0.0,0.0,2.0,5,Family and Kids,395,Sweet Nativity story told from animals' perspective.,3,the-star,The Star,1.0,1.0,1.0
317,0.0,0.0,0.0,2.0,PG,1.0,0.0,0.0,0.0,1.0,7,Family and Kids,420,Inept talking-animal tale relies on potty humor.,1,a-dog-and-pony-show,A Dog and Pony Show,1.0,1.0,1.0
324,0.0,0.0,3.0,0.0,G,4.0,0.0,0.0,0.0,2.0,6,Documentary,427,Some animal peril in beautifully filmed nature documentary.,3,earth-one-amazing-day,Earth: One Amazing Day,1.0,1.0,1.0
335,3.0,0.0,2.0,1.0,NR,3.0,0.0,0.0,0.0,2.0,5,Family and Kids,438,More adventures of Kion and his Guard; cartoon peril.,4,the-lion-guard-the-rise-of-scar,The Lion Guard: The Rise of Scar,1.0,1.0,1.0
344,2.0,0.0,2.0,0.0,PG,4.0,0.0,1.0,0.0,2.0,5,Family and Kids,447,"Positive messages, some scary stuff in sweet, sparkly romp.",3,my-little-pony-the-movie-2017,My Little Pony: The Movie (2017),1.0,1.0,1.0
366,5.0,0.0,1.0,1.0,PG,3.0,0.0,0.0,0.0,2.0,6,Family and Kids,469,Plenty of fake kung fu in fun comedy with toy ninjas.,4,the-lego-ninjago-movie,The Lego Ninjago Movie,1.0,1.0,1.0
372,0.0,0.0,1.0,1.0,PG,4.0,0.0,1.0,0.0,3.0,6,Family and Kids,475,Animal comedy has positive messages but weak story.,2,hedgehogs,Hedgehogs,1.0,1.0,1.0
377,0.0,1.0,,1.0,PG,4.0,0.0,1.0,0.0,2.0,8,Drama,480,Faith-based drama has pro-refugee message.,3,all-saints,All Saints,0.0,1.0,1.0
383,3.0,0.0,0.0,0.0,NR,3.0,0.0,0.0,0.0,2.0,8,Action/Adventure,486,Fans of this anime series will enjoy; some violence.,3,digimon-adventure-tri-confession,Digimon Adventure tri: Confession,1.0,1.0,1.0
384,2.0,1.0,2.0,1.0,PG,3.0,0.0,1.0,0.0,3.0,7,Family and Kids,487,"""Threequel"" has more action, strong sibling relationships.",3,despicable-me-3,Despicable Me 3,1.0,1.0,1.0
406,1.0,1.0,,0.0,NR,4.0,0.0,0.0,0.0,1.0,6,Family and Kids,509,Holiday-themed show will give Trolls fans the warm fuzzies.,4,trolls-holiday,Trolls Holiday,0.0,1.0,1.0
409,3.0,0.0,3.0,0.0,NR,4.0,0.0,0.0,0.0,1.0,4,Family and Kids,512,"Positive messages; more suspense, action than past tales.",4,bob-the-builder-mega-machines-the-movie,Bob the Builder: Mega Machines - The Movie,1.0,1.0,1.0
422,2.0,0.0,0.0,0.0,G,3.0,0.0,0.0,0.0,0.0,4,Family and Kids,526,"Merry, mischievous holiday tale is fun for families.",4,all-i-want-for-christmas-is-you,All I Want for Christmas Is You,1.0,1.0,1.0
424,0.0,0.0,,0.0,NR,3.0,0.0,0.0,0.0,2.0,8,Documentary,528,"Deep thoughts, fuzzy cats in heartwarming documentary.",4,kedi,Kedi,0.0,1.0,1.0
429,0.0,0.0,0.0,0.0,NR,4.0,0.0,0.0,0.0,1.0,5,Family and Kids,533,Spunky tree's adventures are filled with festive messages.,4,albert,Albert,1.0,1.0,1.0
432,2.0,1.0,1.0,2.0,PG,3.0,0.0,1.0,0.0,3.0,6,Family and Kids,536,Animated comedy is forgettable but promotes teamwork.,2,the-nut-job-2-nutty-by-nature,The Nut Job 2: Nutty by Nature,1.0,1.0,1.0
437,0.0,0.0,,0.0,NR,3.0,0.0,0.0,0.0,1.0,7,Drama,541,Canadian girl travels to Iran in animated dramedy.,3,window-horses-the-poetic-persian-epiphany-of-rosie-ming,Window Horses: The Poetic Persian Epiphany of Rosie Ming,0.0,1.0,1.0
438,3.0,1.0,2.0,1.0,G,4.0,0.0,0.0,0.0,3.0,6,Family and Kids,542,"Some intense scenes in story of empowerment, mentorship.",4,cars-3,Cars 3,1.0,1.0,1.0
446,0.0,0.0,0.0,0.0,NR,4.0,0.0,1.0,0.0,0.0,7,Family and Kids,550,"Friendship, family, and role models in coming-of-age tale.",4,anne-of-green-gables-the-good-stars,Anne of Green Gables: The Good Stars,1.0,1.0,1.0
454,0.0,0.0,0.0,1.0,NR,3.0,0.0,0.0,0.0,3.0,7,Fantasy,558,"Low-budget, live-action fantasy; kids in peril throughout.",2,a-fairys-game,A Fairy's Game,1.0,1.0,1.0
455,0.0,1.0,0.0,1.0,PG,2.0,0.0,0.0,0.0,2.0,6,Family and Kids,559,Singing-and-talking-dog tale has some peril.,2,pup-star-better-2gether,Pup Star: Better 2gether,1.0,1.0,1.0
461,4.0,1.0,1.0,2.0,PG,4.0,0.0,1.0,0.0,2.0,6,Family and Kids,565,"Positive messages, but colorful adventure is mostly ""meh.""",3,the-emoji-movie,The Emoji Movie,1.0,1.0,1.0
471,5.0,0.0,0.0,0.0,NR,1.0,0.0,0.0,0.0,1.0,4,Family and Kids,575,Full-length commercial for toys; cute but routine story.,2,shopkins-world-vacation,Shopkins: World Vacation,1.0,1.0,1.0
472,3.0,0.0,0.0,0.0,NR,3.0,0.0,0.0,0.0,2.0,5,Family and Kids,576,Barbie and her sisters save dolphins in gentle story.,3,barbie-dolphin-magic,Barbie Dolphin Magic,1.0,1.0,1.0
474,3.0,0.0,0.0,1.0,PG,2.0,0.0,0.0,0.0,2.0,8,Action/Adventure,578,Clever animated throwback to '60s Batman has some violence.,4,batman-vs-two-face,Batman vs. Two-Face,1.0,1.0,1.0
485,0.0,0.0,0.0,0.0,NR,3.0,0.0,0.0,0.0,0.0,4,Family and Kids,589,Kindness saves unfriendly street in fun holiday story.,4,once-upon-a-sesame-street-christmas,Once Upon a Sesame Street Christmas,1.0,1.0,1.0
494,0.0,0.0,1.0,2.0,PG,2.0,0.0,2.0,0.0,4.0,8,Family and Kids,598,"Rude jokes, surprising violence in animated undersea tale.",2,deep,Deep,1.0,1.0,1.0
509,0.0,0.0,0.0,0.0,G,4.0,0.0,0.0,0.0,1.0,4,Family and Kids,613,Delightful musical tale of pumpkin who doesn't fit in.,4,spookley-the-square-pumpkin,Spookley the Square Pumpkin,1.0,1.0,1.0
517,0.0,0.0,2.0,1.0,PG,3.0,0.0,2.0,0.0,3.0,8,Family and Kids,621,Original animated fantasy has a few frightening elements.,3,mune-guardian-of-the-moon,Mune: Guardian of the Moon,1.0,1.0,1.0
523,0.0,0.0,,0.0,PG,3.0,0.0,0.0,0.0,0.0,7,Family and Kids,627,Family-friendly tale of newly inducted witch is so-so.,3,a-witches-ball,A Witches' Ball,0.0,1.0,1.0
527,2.0,0.0,,3.0,PG,3.0,0.0,0.0,0.0,3.0,8,Science Fiction,631,"Suspenseful, thoughtful alien-encounter classic.",5,close-encounters-of-the-third-kind,Close Encounters of the Third Kind,0.0,1.0,1.0
536,0.0,0.0,4.0,0.0,G,4.0,0.0,0.0,0.0,2.0,6,Documentary,640,Absorbing docu about snow leopards has mild peril.,4,ghost-of-the-mountains,Ghost of the Mountains,1.0,1.0,1.0
537,0.0,0.0,0.0,0.0,NR,1.0,0.0,0.0,0.0,1.0,8,Family and Kids,641,"Predictable ""Sleepless in Seattle"" wannabe for tweens.",2,cupids-proxy,Cupid's Proxy,1.0,1.0,1.0
539,0.0,0.0,0.0,0.0,NR,2.0,0.0,0.0,0.0,4.0,8,Action/Adventure,643,Quirky adventure has lots of scares and cartoon violence.,2,monster-island,Monster Island,1.0,1.0,1.0
540,1.0,0.0,1.0,2.0,PG,3.0,0.0,1.0,0.0,3.0,6,Family and Kids,644,Book-based adventure is fun ... if you like potty humor.,3,captain-underpants-the-first-epic-movie,Captain Underpants: The First Epic Movie,1.0,1.0,1.0
552,0.0,0.0,0.0,0.0,NR,2.0,0.0,0.0,0.0,3.0,7,Family and Kids,656,English-dubbed version of animated Chinese tale is confusing,2,the-guardian-brothers,The Guardian Brothers,1.0,1.0,1.0
554,0.0,0.0,0.0,0.0,NR,1.0,0.0,0.0,0.0,1.0,5,Family and Kids,658,Talking animals help lost cat; for younger kids only.,1,the-amazing-adventure-of-marchello-the-cat,The Amazing Adventure of Marchello the Cat,1.0,1.0,1.0
575,0.0,0.0,4.0,0.0,G,3.0,0.0,0.0,0.0,3.0,6,Documentary,679,"Nature docu has gorgeous vistas, moments of peril.",4,born-in-china,Born in China,1.0,1.0,1.0
585,3.0,0.0,2.0,0.0,NR,4.0,0.0,0.0,0.0,2.0,4,Family and Kids,689,"Solid messages, but more scares, spookiness than usual.",3,thomas-friends-journey-beyond-sodor,Thomas &amp; Friends: Journey Beyond Sodor,1.0,1.0,1.0
586,0.0,0.0,,1.0,PG,3.0,0.0,1.0,0.0,2.0,8,Family and Kids,690,Mermaid coming-of-age drama is forgettable but mild.,2,scales-mermaids-are-real,Scales: Mermaids Are Real,0.0,1.0,1.0
587,2.0,0.0,0.0,0.0,NR,2.0,0.0,0.0,0.0,2.0,8,Action/Adventure,691,Fine for fans; new viewers may be confused. Some violence.,2,digimon-adventure-tri-determination,Digimon Adventure tri: Determination,1.0,1.0,1.0
588,0.0,0.0,0.0,1.0,PG,1.0,0.0,0.0,0.0,2.0,6,Family and Kids,692,Routine boy-and-dog treasure hunt with fart jokes.,2,treasure-hounds,Treasure Hounds,1.0,1.0,1.0
597,1.0,0.0,0.0,0.0,NR,4.0,0.0,0.0,0.0,1.0,8,Family and Kids,701,"Exceptional sequel promotes communication, female roles.",4,descendants-2,Descendants 2,1.0,1.0,1.0
602,3.0,0.0,0.0,0.0,NR,1.0,0.0,0.0,0.0,3.0,7,Family and Kids,706,"Franchises merge for toy tie-ins; cartoon action, peril.",2,lego-dc-super-hero-girls-brain-drain,Lego DC Super Hero Girls: Brain Drain,1.0,1.0,1.0
605,2.0,0.0,1.0,1.0,PG,3.0,0.0,0.0,0.0,2.0,8,Family and Kids,709,"New cast, but more of the same gross-out humor, hijinks.",2,diary-of-a-wimpy-kid-the-long-haul,Diary of a Wimpy Kid: The Long Haul,1.0,1.0,1.0
616,0.0,0.0,0.0,1.0,PG,2.0,0.0,0.0,0.0,2.0,7,Family and Kids,720,Kid helps cop in tame but awful family comedy.,1,cop-and-a-half-new-recruit,Cop and a Half: New Recruit,1.0,1.0,1.0
628,0.0,0.0,0.0,0.0,NR,2.0,0.0,0.0,0.0,2.0,8,Family and Kids,732,Bland ballet tale has some bullying.,2,you-can-tutu,You Can Tutu,1.0,1.0,1.0
630,3.0,0.0,0.0,1.0,NR,2.0,0.0,0.0,0.0,2.0,6,Family and Kids,734,Lego & Scooby-Doo crew team up for mildly spooky adventure.,2,lego-scooby-doo-blowout-beach-bash,Lego Scooby-Doo! Blowout Beach Bash,1.0,1.0,1.0
632,1.0,2.0,0.0,2.0,PG,3.0,0.0,1.0,0.0,3.0,6,Family and Kids,736,"Animated comedy about sibling rivalry has peril, body humor.",3,the-boss-baby,The Boss Baby,1.0,1.0,1.0
640,3.0,0.0,5.0,0.0,NR,4.0,0.0,0.0,0.0,0.0,8,Documentary,744,Thoughtful docu about space program urges return to cosmos.,4,fight-for-space,Fight for Space,1.0,1.0,1.0
646,0.0,0.0,1.0,2.0,PG,3.0,0.0,1.0,0.0,3.0,6,Family and Kids,750,Sci-fi adventure isn't too scary but has lots of clichés.,2,spark-a-space-tail,Spark: A Space Tail,1.0,1.0,1.0
647,2.0,0.0,1.0,0.0,PG,4.0,0.0,1.0,0.0,3.0,6,Family and Kids,751,"Smurfs adventure has girl-power message, some peril.",3,smurfs-the-lost-village,Smurfs: The Lost Village,1.0,1.0,1.0
649,3.0,0.0,1.0,0.0,NR,2.0,0.0,0.0,0.0,2.0,7,Family and Kids,753,Famous frenemies add cartoon violence to classic tale.,2,tom-and-jerry-willy-wonka-the-chocolate-factory,Tom and Jerry: Willy Wonka &amp; the Chocolate Factory,1.0,1.0,1.0
654,2.0,0.0,0.0,1.0,NR,3.0,0.0,0.0,0.0,1.0,8,Family and Kids,758,Faith-based summer camp tale deals with bullying.,3,camp-cool-kids,Camp Cool Kids,1.0,1.0,1.0
677,0.0,1.0,1.0,2.0,PG,3.0,0.0,1.0,0.0,1.0,8,Comedy,781,"Whimsical, sweet story about friendship, gardening.",3,this-beautiful-fantastic,This Beautiful Fantastic,1.0,1.0,1.0
679,2.0,0.0,3.0,0.0,NR,4.0,0.0,0.0,0.0,2.0,8,Documentary,783,Compelling but slow-paced doc about Iroquois lacrosse team.,3,spirit-game-pride-of-a-nation,Spirit Game: Pride of a Nation,1.0,1.0,1.0
686,4.0,0.0,1.0,1.0,PG,4.0,0.0,1.0,0.0,3.0,7,Family and Kids,790,"Clever, creative, action-packed adventure/toy ad.",4,the-lego-batman-movie,The Lego Batman Movie,1.0,1.0,1.0
689,0.0,0.0,1.0,1.0,G,3.0,0.0,0.0,0.0,3.0,7,Family and Kids,793,"Animated parrot adventure has cartoon action, mild scares.",3,americano,Americano,1.0,1.0,1.0
704,1.0,1.0,2.0,1.0,PG,4.0,0.0,2.0,0.0,3.0,8,Family and Kids,808,"Fantastic but scarier remake of the ""tale as old as time.""",4,beauty-and-the-beast-2017,Beauty and the Beast,1.0,1.0,1.0
716,0.0,0.0,1.0,0.0,PG,3.0,0.0,0.0,0.0,3.0,7,Family and Kids,820,Orphan bird takes wing with wacky flock; heroes in peril.,3,a-storks-journey,A Stork's Journey,1.0,1.0,1.0
727,0.0,0.0,2.0,0.0,PG,2.0,0.0,0.0,0.0,3.0,8,Family and Kids,831,"Forgettable tale with cute kids, gallant dog; some violence.",2,max-2-white-house-hero,Max 2: White House Hero,1.0,1.0,1.0
731,3.0,0.0,0.0,0.0,NR,2.0,0.0,0.0,0.0,3.0,7,Family and Kids,835,Action-packed superhero tale has lots of cartoon violence.,2,dc-super-hero-girls-intergalactic-games,DC Super Hero Girls: Intergalactic Games,1.0,1.0,1.0
732,0.0,0.0,1.0,1.0,PG,4.0,0.0,0.0,0.0,3.0,6,Family and Kids,836,Animated comedy is old-fashioned and fun; some peril.,3,rock-dog,Rock Dog,1.0,1.0,1.0
733,0.0,0.0,2.0,0.0,G,3.0,0.0,1.0,0.0,3.0,5,Family and Kids,837,Disney's original circle-of-life story.,5,bambi,Bambi,1.0,1.0,1.0
742,0.0,0.0,2.0,0.0,NR,5.0,0.0,0.0,0.0,0.0,3,Family and Kids,846,More kid-friendly entertainment from inquisitive tiger cub.,5,daniel-tigers-neighborhood-tiger-family-trip,Daniel Tiger's Neighborhood: Tiger Family Trip,1.0,1.0,1.0
753,3.0,0.0,1.0,0.0,NR,3.0,0.0,0.0,0.0,3.0,7,Family and Kids,857,"Wolf cub tale has much more fighting, suspense than usual.",2,alpha-and-omega-journey-to-bear-kingdom,Alpha and Omega: Journey to Bear Kingdom,1.0,1.0,1.0
760,0.0,0.0,1.0,0.0,PG,4.0,0.0,2.0,0.0,2.0,8,Drama,864,Beautiful word-free drama about castaway who finds love.,4,the-red-turtle,The Red Turtle,1.0,1.0,1.0
780,0.0,0.0,5.0,0.0,NR,4.0,0.0,0.0,0.0,2.0,7,Drama,884,"Inpsiring, educational biopic about a remarkable naturalist.",4,amazon-adventure-3d,Amazon Adventure 3D,1.0,1.0,1.0
792,0.0,0.0,0.0,2.0,NR,0.0,0.0,0.0,0.0,2.0,8,Comedy,896,Dog and kids save mom in poorly made comedy.,1,in-the-doghouse,In the Doghouse,1.0,1.0,1.0
795,2.0,0.0,1.0,1.0,PG,3.0,0.0,1.0,0.0,3.0,7,Family and Kids,899,"Lots of action, thin story in boy-meets-creature adventure.",2,monster-trucks,Monster Trucks,1.0,1.0,1.0
802,1.0,0.0,0.0,0.0,NR,4.0,0.0,0.0,0.0,1.0,5,Family and Kids,906,Enjoyable movie follow-up continues spunky Rapunzel's tale.,4,tangled-before-ever-after,Tangled: Before Ever After,1.0,1.0,1.0
818,0.0,1.0,3.0,0.0,NR,4.0,0.0,0.0,0.0,1.0,7,Family and Kids,922,"Enjoyable, beautiful, warmhearted remake of classic tale.",4,heidi-2015,Heidi (2015),1.0,1.0,1.0
820,0.0,0.0,0.0,0.0,NR,3.0,0.0,1.0,0.0,1.0,8,Comedy,924,Prep schoolers play pranks in high-spirited tween comedy.,3,bruno-and-boots-this-cant-be-happening-at-macdonald-hall,Bruno and Boots: This Can't Be Happening at Macdonald Hall,1.0,1.0,1.0
826,3.0,0.0,0.0,0.0,NR,3.0,0.0,0.0,0.0,2.0,7,Family and Kids,930,"Lots of zaps, bolts, and fun, plus new dolls to buy.",3,monster-high-electrified,Monster High: Electrified,1.0,1.0,1.0
832,2.0,0.0,0.0,0.0,G,3.0,0.0,0.0,0.0,2.0,6,Family and Kids,936,Brave young princess saves the day; some scares.,3,the-swan-princess-royally-undercover,The Swan Princess: Royally Undercover,1.0,1.0,1.0
836,0.0,0.0,1.0,0.0,NR,4.0,0.0,0.0,0.0,0.0,7,Family and Kids,940,"Christmas on the frontier; holiday messages, wholesome tale.",3,when-calls-the-heart-the-heart-of-faith,When Calls the Heart: The Heart of Faith,1.0,1.0,1.0
841,1.0,2.0,1.0,2.0,PG,3.0,0.0,2.0,0.0,3.0,7,Family and Kids,945,"Musical has great songs, slapstick laughs, mixed messages.",3,sing,Sing,1.0,1.0,1.0
844,0.0,0.0,3.0,0.0,NR,3.0,0.0,0.0,0.0,2.0,8,Documentary,948,Family leaves tech behind during winter in the Yukon.,3,all-the-time-in-the-world,All the Time in the World,1.0,1.0,1.0
855,3.0,0.0,0.0,0.0,NR,2.0,0.0,1.0,0.0,3.0,7,Family and Kids,959,The lovable space family gets upstaged by wrestling.,2,the-jetsons-wwe-robo-wrestlemania,The Jetsons &amp; WWE: Robo-Wrestlemania,1.0,1.0,1.0
858,0.0,0.0,0.0,0.0,G,1.0,0.0,0.0,0.0,1.0,7,Family and Kids,962,Poorly made family comedy sequel has mild peril.,2,robo-dog-airborne,Robo-Dog: Airborne,1.0,1.0,1.0
861,0.0,1.0,0.0,1.0,PG,3.0,0.0,1.0,0.0,3.0,8,Family and Kids,965,Fourth movie in Spanish-language series has scary parts.,2,la-leyenda-del-chupacabras,La Leyenda del Chupacabras,1.0,1.0,1.0
870,1.0,0.0,2.0,2.0,PG,4.0,0.0,0.0,0.0,3.0,6,Family and Kids,974,"Great characters, memorable music, some monsters/scares.",4,moana,Moana,1.0,1.0,1.0
