title,Consumerism,"Drinking, Drugs & Smoking",Educational Value,Language,MPAA_rating,Positive Messages,Sex,Sexy Stuff,Violence,Violence & Scariness,age,genre,movie_id,one_line_description,overall_rating,slug,MPAA_ordinal,is_educational,has_Sexy_Stuff,has_Violence_&_Scariness
I Kill Giants,0.0,0.0,,3.0,NR,3.0,1.0,,3.0,,13,Fantasy,69,"Moody, intense graphic novel-based fantasy drama.",3,i-kill-giants,4,0,0,0
Daphne &amp; Velma,2.0,0.0,0.0,0.0,G,1.0,0.0,0.0,0.0,2.0,8,Family and Kids,70,Live-action tale about high school besties has peril.,2,daphne-velma,0,1,1,1
Cargo,0.0,0.0,,4.0,NR,4.0,0.0,,5.0,,17,Thriller,71,"Original zombie movie with heart; violence, language.",4,cargo,4,0,0,0
Deadpool 2,3.0,3.0,,5.0,R,3.0,2.0,,5.0,,17,Action/Adventure,72,"Nonstop violence, profanity, adult humor in super sequel.",4,deadpool-2,3,0,0,0
Show Dogs,4.0,1.0,2.0,2.0,PG,2.0,0.0,1.0,0.0,3.0,8,Family and Kids,73,Talking-animal buddy comedy dogged by controversy.,2,show-dogs,1,1,1,1
Pope Francis: A Man of His Word,0.0,0.0,,0.0,PG,4.0,0.0,0.0,0.0,1.0,8,Documentary,74,Fond docu has some images of real-world suffering.,3,pope-francis-a-man-of-his-word,1,0,1,1
Book Club,4.0,4.0,,3.0,PG-13,4.0,4.0,,0.0,,14,Comedy,75,"Fabulous stars drink, talk about sex in racy comedy.",3,book-club,2,0,0,0
First Reformed,0.0,3.0,,0.0,R,2.0,2.0,,3.0,,16,Drama,76,"Disturbing images in intense, mature character study.",3,first-reformed,3,0,0,0
On Chesil Beach,0.0,2.0,,3.0,R,1.0,5.0,,2.0,,17,Romance,77,Powerful themes of sexuality in book-based romantic drama.,3,on-chesil-beach,3,0,0,0
Dark Crimes,0.0,2.0,,4.0,R,0.0,5.0,,4.0,,18,Thriller,78,Exploitative Carrey thriller has lots of sexual violence.,1,dark-crimes,3,0,0,0
Straight/Curve: Redefining Body Image,2.0,0.0,,1.0,NR,4.0,2.0,,0.0,,13,Documentary,79,"Earnest, well-intentioned docu about female body image.",3,straightcurve-redefining-body-image,4,0,0,0
Black Panther,3.0,1.0,,3.0,PG-13,4.0,1.0,,4.0,,12,Action/Adventure,80,"Masterful Marvel film has depth, diversity -- and violence.",5,black-panther,2,0,0,0
Samson,0.0,1.0,,0.0,PG-13,1.0,1.0,,4.0,,14,Action/Adventure,81,"Bible-based tale has bloody beatings, eye-gougings, more.",1,samson,2,0,0,0
The Forgiven,0.0,1.0,,4.0,R,3.0,2.0,,4.0,,16,Drama,82,"Brutal violence, adult themes in post-apartheid story.",4,the-forgiven,3,0,0,0
Submergence,1.0,2.0,,4.0,NR,2.0,3.0,,4.0,,16,Romance,83,"Dull, message-heavy romance has violence, sex.",2,submergence,4,0,0,0
The Manor,0.0,2.0,,4.0,R,0.0,4.0,,4.0,,16,Horror,84,"Bizarre, laughably awful horror movie has language, blood.",1,the-manor,3,0,0,0
Lego DC SuperHero Girls: Super-Villain High,3.0,0.0,0.0,0.0,NR,3.0,0.0,0.0,0.0,3.0,7,Family and Kids,85,"Loads of cartoon action, girls' heroics, and toy marketing.",3,lego-dc-superhero-girls-super-villain-high,4,1,1,1
Coming to My Senses,0.0,3.0,,3.0,NR,5.0,0.0,,2.0,,13,Documentary,86,Inspiring docu about the power of a positive attitude.,4,coming-to-my-senses,4,0,0,0
The Seagull,0.0,2.0,,0.0,PG-13,1.0,1.0,,1.0,,13,Drama,87,"Insightful, mildly sensual adaptation deals with suicide.",4,the-seagull,2,0,0,0
Breaking In,1.0,2.0,,4.0,PG-13,1.0,2.0,,4.0,,14,Thriller,88,Violent home invasion thriller is mostly boring clichés.,2,breaking-in,2,0,0,0
Life of the Party,2.0,4.0,,3.0,PG-13,4.0,3.0,,2.0,,14,Comedy,89,Talented cast can't save rowdy comedy; lots of drinking.,2,life-of-the-party,2,0,0,0
Lu Over the Wall,0.0,0.0,2.0,1.0,PG,3.0,0.0,1.0,0.0,3.0,8,Family and Kids,90,Imaginative animated mermaid adventure has a few scares.,3,lu-over-the-wall,1,1,1,1
The Honor List,1.0,3.0,,3.0,PG-13,3.0,3.0,,2.0,,14,Drama,91,"Teen friendship drama has sexual themes, alcohol abuse.",3,the-honor-list,2,0,0,0
Measure of a Man,0.0,3.0,,3.0,PG-13,2.0,2.0,,3.0,,13,Comedy,92,Extreme bullying in misguided coming-of-age tale.,2,measure-of-a-man,2,0,0,0
Mountain,1.0,1.0,,0.0,PG,3.0,0.0,,3.0,,10,Documentary,93,Ecology doc sparks senses with awe-inspiring cinematography.,4,mountain,1,0,0,0
Anything,0.0,3.0,,4.0,R,4.0,3.0,,1.0,,16,Drama,94,"Drug use, strong language in well-meaning love story.",3,anything,3,0,0,0
The Kissing Booth,1.0,4.0,,3.0,NR,1.0,3.0,,2.0,,14,Romance,95,"Quirky romcom has strong language, teen drinking, sex.",3,the-kissing-booth,4,0,0,0
Terminal,0.0,2.0,,4.0,NR,0.0,3.0,,4.0,,16,Thriller,96,"Stylish but violent, empty attempt at a modern film noir.",2,terminal,4,0,0,0
La Boda de Valentina,1.0,3.0,,3.0,R,1.0,2.0,,2.0,,13,Comedy,97,"Spanish-language romcom has mild swearing, comic violence.",2,la-boda-de-valentina,3,0,0,0
And Then I Go,0.0,0.0,,4.0,NR,0.0,3.0,,5.0,,16,Drama,98,"Outcast teens plan school shooting; violence, cursing.",2,and-then-i-go,4,0,0,0
Batman Ninja,3.0,1.0,,2.0,PG-13,1.0,1.0,,4.0,,12,Action/Adventure,99,Anime Batman time-travels to ancient Japan; lots of action.,4,batman-ninja,2,0,0,0
Fifty Shades Freed,3.0,3.0,,4.0,R,2.0,5.0,,3.0,,18,Romance,200,"Third and final movie has more bland sex, even less plot.",2,fifty-shades-freed,3,0,0,0
Pup Star: World Tour,0.0,0.0,1.0,0.0,G,2.0,0.0,0.0,0.0,2.0,6,Family and Kids,201,Slapstick action and humor in musical talking-dog sequel.,3,pup-star-world-tour,0,1,1,1
End Game,1.0,0.0,,2.0,NR,5.0,0.0,,0.0,,15,Documentary,202,Inspiring docu treats dying as integral part of life cycle.,4,end-game,4,0,0,0
RBG,0.0,0.0,,1.0,PG,5.0,0.0,,1.0,,10,Documentary,203,"Inspiring, entertaining docu about an American icon.",4,rbg,1,0,0,0
Tully,2.0,2.0,,4.0,R,3.0,3.0,,2.0,,15,Comedy,204,Female stars shine in dark comedy about motherhood.,4,tully,3,0,0,0
Bad Samaritan,1.0,2.0,,4.0,R,2.0,4.0,,5.0,,17,Thriller,205,"Interesting characters, situations in violent thriller.",3,bad-samaritan,3,0,0,0
Anon,2.0,3.0,,4.0,NR,1.0,4.0,,4.0,,17,Science Fiction,206,"Violent sci-fi thriller has sex, cursing.",2,anon,4,0,0,0
Overboard,1.0,3.0,,3.0,PG-13,0.0,3.0,,1.0,,13,Comedy,207,"Lazy, insulting, gender-swapped remake just isn't funny.",1,overboard,2,0,0,0
Forgive Us Our Debts,0.0,3.0,,3.0,NR,0.0,1.0,,3.0,,16,Drama,208,"Dark Italian drama has some violence, cursing.",3,forgive-us-our-debts,4,0,0,0
Lazer Team 2,0.0,1.0,,3.0,NR,3.0,2.0,,3.0,,13,Comedy,209,Fans will like juvenile but funny sci-fi sequel.,3,lazer-team-2,4,0,0,0
12 Strong,0.0,1.0,,4.0,R,3.0,1.0,,4.0,,15,Action/Adventure,210,"Good cast in violent, patriotic, fact-based war movie.",3,12-strong,3,0,0,0
Mary and the Witch's Flower,0.0,0.0,,0.0,PG,4.0,0.0,0.0,0.0,3.0,8,Family and Kids,211,"Magical, intense adventure should delight tween Potter fans.",4,mary-and-the-witchs-flower,1,0,1,1
Winchester,0.0,3.0,,2.0,PG-13,2.0,2.0,,4.0,,13,Thriller,212,"Gun violence, jump scares in disappointing ghost story.",2,winchester,2,0,0,0
Please Stand By,3.0,0.0,,3.0,PG-13,3.0,0.0,,2.0,,11,Comedy,213,Well-performed dramedy about fangirl with autism.,3,please-stand-by,2,0,0,0
Nostalgia,0.0,2.0,,4.0,R,2.0,0.0,,2.0,,15,Drama,214,"Leisurely, wistful drama about people and their belongings.",4,nostalgia,3,0,0,0
Josie,0.0,3.0,,3.0,NR,1.0,2.0,,2.0,,15,Thriller,215,"Shallow noir thriller has strong language, drinking.",2,josie,4,0,0,0
All I Wish,0.0,2.0,,4.0,R,1.0,4.0,,1.0,,16,Romance,216,"Unlikable character in flat romance; sex, swearing.",2,all-i-wish,3,0,0,0
The Son of Bigfoot,0.0,0.0,0.0,2.0,PG,2.0,0.0,0.0,0.0,3.0,6,Family and Kids,217,"So-so adventure finds the positive in ""negative"" traits.",2,the-son-of-bigfoot,1,1,1,1
Peter Rabbit,1.0,2.0,1.0,1.0,PG,2.0,0.0,3.0,0.0,3.0,7,Family and Kids,218,"Action-heavy take on classic books has peril, edgy jokes.",2,peter-rabbit,1,1,1,1
Most Likely to Murder,0.0,3.0,,5.0,R,1.0,4.0,,2.0,,17,Comedy,219,"Raunchy comedy about dim man-child; cursing, nudity, drugs.",1,most-likely-to-murder,3,0,0,0
Maya the Bee 2: The Honey Games,3.0,0.0,1.0,0.0,NR,4.0,0.0,0.0,0.0,2.0,4,Family and Kids,220,Delightful tale will inspire and engage; mild suspense.,4,maya-the-bee-2-the-honey-games,4,1,1,1
Avengers: Infinity War,1.0,0.0,,3.0,PG-13,4.0,1.0,,4.0,,13,Action/Adventure,221,"Intense violence, strong messages in shocking Marvel epic.",5,avengers-infinity-war,2,0,0,0
